iD,Response,Reviewer
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ... Operating systems are found on many devices that contain a computer â€“ from cellular phones and video game consoles to web servers and supercomputers.",4
1,"An operating system is the most important software that runs on a computer. It manages the computer's memory and processes, as well as all of its software and hardware. It also allows you to communicate with the computer without knowing how to speak the computer's language. Without an operating system, a computer is useless.",5
1,Collection of programs that manages hardware resources.,2
1,It is an interface user and machine(hardware),2
1,An operating system is a software which acts as an interface between software and hardware,3
1,It is a platform for humans to interact with hardware. ,1
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ... Operating systems are found on many devices that contain a computer â€“ from cellular phones and video game consoles to web servers and supercomputers.",5
1,software which act as interface between user and underlying hardware,3
1,Operating System is a software system that control the computer resources. It is the software that allows applications to interact with the hardware on a computer. Software can interact with hardware directly.,4
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ... Operating systems are found on many devices that contain a computer â€“ from cellular phones and video game consoles to web servers and supercomputers.",4
1,Operating system is nothing but a software which acts as a interface between user and the hardware device.,2
1,"An operating system, or OS is software that communicates with the hardware and allows other programs to run. ",3
1,"It is the interface between computer and the operator, which enables the operator to perform certain tasks.",2
1,"An operating system (OS) is system software that manages computer hardware, software resources",3
1,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.
Some popular Operating Systems include Linux Operating System, Windows Operating System, VMS, OS/400, AIX, z/OS, etc.
An operating system is a program that acts as an interface between the user and the computer hardware and controls the execution of all kinds of programs.",5
1,"An operating system  is system software that manages computer hardware, software resources, and provides common services for computer programs.Operating systems are found on many devices that contain a computer â€“ from cellular phones and video game consoles to web servers and supercomputers.",5
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ... Operating systems are found on many devices that contain a computer â€“ from cellular phones and video game consoles to web servers and supercomputers.",5
1,"An operating system is system software that manages computer hardware, software resources, and provides service for computer programs.",4
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",3
1,"Operating system (OS), program that manages a computer's resources, especially the allocation of those resources among other programs. ... Typical resources include the central processing unit (CPU), computer memory, file storage, input/output (I/O) devices, and network connections.",4
1,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.",4
1,"An operating system is a program that controls the execution of application programs and acts as an interface between the user of a computer and the computer hardware.
It is also defines as -operating system is the one program running at all times on the computer (usually called the kernel), with all else being application programs.
It is concerned with the allocation of resources and services, such as memory, processors, devices, and information. The operating system correspondingly includes programs to manage these resources, such as a traffic controller, a scheduler, a memory management module, I/O programs, and a file system.",4
1,Operating system is operate the system,0
1,An Operating System is an interface between a computer user and computer hardware.,3
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.

Time-sharing operating systems schedule tasks for efficient use of the system and may also include accounting software for cost allocation of processor time, mass storage, printing, and other resources.

For hardware functions such as input and output and memory allocation, the operating system acts as an intermediary between programs and the computer hardware,although the application code is usually executed directly by the hardware and frequently makes system calls to an OS function or is interrupted by it. Operating systems are found on many devices that contain a computer â€“ from cellular phones and video game consoles to web servers and supercomputers.

.Linux distributions are dominant in the server and supercomputing sectors. Other specialized classes of operating systems  such as embedded and real-time systems, exist for many applications. Security-focused operating systems also exist. Some operating systems have low system requirements  Others may have higher system requirements.

Some operating systems require installation or may come pre-installed with purchased computers , whereas others may run directly from media  or flash memory ",4
1,"An operating system (OS) is the program that, after being initially loaded into the computer by a boot program, manages all of the other application programs in a computer. The application programs make use of the operating system by making requests for services through a defined application program interface (API).
The three most common operating systems for personal computers are Microsoft Windows, macOS, and Linux.",5
1,"An operating system is a system software that manages computer hardware, software resources, and provides common services for computer programs.",4
1,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.",5
1,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",4
1,"It is the interface between the user and the computer,it perfoms memory allocation, memory management,process management etc ",4
1,"An operating system is a software that manages computer hardware, software resources and provides common services program.",3
1,"Operating system is a software that manages computer hardware, software resources",3
1,Windows 10,0
1,"os is a software that communicates with hardware and makes programs to run in desktop, mobile phone.",2
1,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.",4
